NAME: mona-lisa100K
COMMENT: TSP art (Bosch)
TYPE: TSP
DIMENSION: 100000
EDGE_WEIGHT_TYPE: EUC_2D
NODE_COORD_SECTION
Edge 	Weight
Total MST weight in key: 5570220.153251893606921
1
1 - 72545	41.617304093369623
1 - 32616	49.365980188789931
3 - 59482	50.159744815937810
4 - 15204	61.000000000000000
6 - 25947	67.801179930735719
6 - 92411	72.801098892805183
7 - 38369	50.990195135927848
7 - 60865	50.990195135927848
8 - 17604	52.325901807804517
9 - 99115	49.477267507411927
10 - 78730	55.362442142665636
11 - 5166	48.093658625644192
12 - 41411	40.792156108742279
12 - 27259	46.690470119715008
12 - 36916	48.052055106935853
13 - 95007	39.623225512317899
14 - 94461	57.078892771321344
15 - 89272	51.971145840745132
17 - 24831	43.324358044868940
17 - 75482	48.259714048054615
19 - 63067	48.466483264210536
20 - 88651	52.611785751863622
20 - 54471	54.817880294662981
21 - 66522	45.880278987817849
21 - 87441	49.040799340956913
22 - 90160	52.697248505021588
22 - 22335	62.968245965724661
23 - 34539	98.234413521942503
24 - 3958	63.285069329186959
26 - 62731	46.872166581031861
27 - 62428	65.122960620659746
28 - 83469	40.459856648287819
31 - 65505	71.554175279993270
31 - 34399	72.138755187485735
35 - 17498	43.046486500061768
35 - 7672	43.278170016764803
36 - 86077	43.174066289845806
37 - 38700	46.690470119715008
39 - 54539	40.049968789001571
40 - 22510	46.615448083226659
41 - 16977	42.107006542854599
43 - 17793	55.326304774492214
44 - 27821	42.801869118065393
45 - 7944	68.007352543677217
46 - 72568	93.145048177560142
47 - 94445	45.453272709454047
48 - 19306	77.620873481300119
49 - 74025	43.931765272977593
49 - 11680	44.721359549995794
50 - 58253	44.911023145771239
50 - 20151	46.097722286464437
52 - 94316	49.040799340956913
52 - 57831	53.009433122794286
53 - 86163	40.706264874095240
53 - 13576	41.773197148410846
53 - 4700	47.801673610868480
54 - 50108	41.436698710201323
54 - 95747	42.379240200834182
55 - 70730	64.195015382816133
57 - 744	41.109609582188931
57 - 85799	44.384682042344293
58 - 73683	50.209560842532770
58 - 33934	50.606323715519980
61 - 24527	37.121422386541171
62 - 38444	43.046486500061768
62 - 67661	43.680659335683110
64 - 96301	50.119856344566671
64 - 32942	61.400325732035005
67 - 76614	53.150729063673247
68 - 66553	88.752464754506959
68 - 18762	89.196412483911033
72 - 65933	113.004424692133184
72 - 71421	117.456374880208184
75 - 75561	43.965895873961217
75 - 66992	45.891175622335063
76 - 52639	45.276925690687083
78 - 89531	39.051248379533272
78 - 17505	40.249223594996215
79 - 99566	44.643028571099430
80 - 31355	43.081318457076032
81 - 47286	91.219515455849687
82 - 18300	55.226805085936304
83 - 60747	76.609398901179221
83 - 15351	85.702975444263311
84 - 65967	44.407206622349035
84 - 32330	45.221676218380052
85 - 44761	96.540147089177361
85 - 75459	106.831643252362266
86 - 77408	67.675697262754523
88 - 26246	38.832975677895198
88 - 10002	42.544094772365295
88 - 88732	44.384682042344293
92 - 18794	43.737855457258075
93 - 88950	65.000000000000000
95 - 55248	50.537115073973109
97 - 83012	43.382023926967723
97 - 79722	48.166378315169182
98 - 51374	131.654851790581573
98 - 89169	150.083310198036344
100 - 72788	42.801869118065393
100 - 27046	44.911023145771239
101 - 17641	47.423622805517505
103 - 16194	50.249378105604451
104 - 83990	44.147480109288231
105 - 45122	41.048751503547584
106 - 9426	35.355339059327376
108 - 88440	104.235310715707084
108 - 63177	119.519872824564200
110 - 24269	119.808180021232273
111 - 73512	53.009433122794286
112 - 69102	45.000000000000000
113 - 70305	52.009614495783373
114 - 53919	69.375788283809792
115 - 90374	40.249223594996215
116 - 96702	66.887966032762575
117 - 29638	38.183766184073566
118 - 72988	64.404968752418474
118 - 20015	71.505244562899021
119 - 68864	41.231056256176605
119 - 62240	43.174066289845806
120 - 5037	47.434164902525690
121 - 52418	42.059481689626181
122 - 84306	56.302753041036990
122 - 23166	58.180752831155425
123 - 96233	134.260939963937389
124 - 51507	42.190046219457973
125 - 69991	51.244511901275828
126 - 63178	40.792156108742279
126 - 88924	42.047592083257277
128 - 42211	44.271887242357311
131 - 80216	42.379240200834182
131 - 60650	43.185645763378368
133 - 44418	77.935871073594860
133 - 43344	90.553851381374166
134 - 36327	45.177427992306069
134 - 79329	46.872166581031861
136 - 60612	47.042533945356302
137 - 7758	44.045431091090481
138 - 66947	40.706264874095240
142 - 12306	43.931765272977593
144 - 30137	56.859475903317997
146 - 33467	46.097722286464437
146 - 64841	48.010415536631215
147 - 2891	72.201108024738789
148 - 89697	57.384666941614290
149 - 36603	66.030296076876711
149 - 84965	75.286120898874847
150 - 21068	65.000000000000000
151 - 61719	103.237590053235939
